
 PEER Ground Motion Database, Time Series Search Report -- NGA-West2 -- 2023-11-25


 -- Summary of PEER Ground Motion Database Search Criteria --
Magnitude Min:, 6.0
Magnitude Max:, 7.0
Rrup Min (km):, 5.0
Rrup Max (km):, 30.0
Rjb Min (km):, 0.0
Rjb Max (km):, 15.0
Vs30 Min (m/sec):, 360.0
Vs30 Max (m/sec):, 760.0
D9-95 Min (sec):, 5.0
D9-95 Max (sec):, 40.0
Scale Factor Min:, 0.2
Scale Factor Max:, 7.0
Period Array:, 0.52,0.65,0.78
Weight Array:, 1,1,1
Record Sequence Number:, 
Earthquake Name:, 
Station Name:, 
User-Defined Maximum Number of Records:, 11
Pulse:, 1
Damping Ratio:, 0.05
Scaling Method:, Minimize MSE
Suite Average:, Arithmetic
Single-Period-Scaling Period (sec):, 
Component:, SRSS
Fault Type:, All Types


 -- Summary of Metadata of Selected Records --
Result ID, Spectral Ordinate, Record Sequence Number, Mean Squared Error, Scale Factor, Tp-Pulse Period (sec), 5-75% Duration (sec), 5-95% Duration (sec), Arias Intensity (m/sec), Earthquake Name, Year, Station Name, Magnitude, Mechanism, Rjb (km), Rrup (km), Vs30 (m/sec), Lowest Useable Frequency (Hz), Initial-search Scale Factor, Horizontal-1 Acc. Filename, Horizontal-2 Acc. Filename, Vertical Acc. Filename
1, SRSS, 313, 0.0007, 1.5555, -, 5.4, 15.4, 0.9, "Corinth_ Greece", 1981, "Corinth", 6.6, Normal Oblique, 10.27, 10.27, 361.4, 0.25, 1.5562, RSN313_CORINTH_COR--L.AT2, RSN313_CORINTH_COR--T.AT2 , RSN313_CORINTH_COR-UP.AT2  
2, SRSS, 1086, 0.0004, 0.6131, 2.436, 3.3, 6.8, 5.0, "Northridge-01", 1994, "Sylmar - Olive View Med FF", 6.69, Reverse, 1.74, 5.3, 440.54, 0.12, 0.6133, RSN1086_NORTHR_SYL090.AT2, RSN1086_NORTHR_SYL360.AT2 , RSN1086_NORTHR_SYL-UP.AT2  
3, SRSS, 2628, 0.0006, 1.0218, -, 2.3, 5.4, 2.1, "Chi-Chi_ Taiwan-03", 1999, "TCU078", 6.2, Reverse, 0.0, 7.62, 443.04, 0.05, 1.0223, RSN2628_CHICHI.03_TCU078N.AT2, RSN2628_CHICHI.03_TCU078E.AT2 , RSN2628_CHICHI.03_TCU078V.AT2  
4, SRSS, 2635, 0.0018, 5.6188, -, 3.0, 7.3, 0.1, "Chi-Chi_ Taiwan-03", 1999, "TCU089", 6.2, Reverse, 5.93, 9.81, 671.52, 0.125, 5.6215, RSN2635_CHICHI.03_TCU089N.AT2, RSN2635_CHICHI.03_TCU089E.AT2 , RSN2635_CHICHI.03_TCU089V.AT2  
5, SRSS, 2734, 0.0017, 0.9006, 2.436, 4.4, 7.4, 1.6, "Chi-Chi_ Taiwan-04", 1999, "CHY074", 6.2, strike slip, 6.02, 6.2, 553.43, 0.08, 0.9011, RSN2734_CHICHI.04_CHY074N.AT2, RSN2734_CHICHI.04_CHY074E.AT2 , RSN2734_CHICHI.04_CHY074V.AT2  
6, SRSS, 3473, 0.001, 1.4828, 4.151, 3.6, 7.4, 1.0, "Chi-Chi_ Taiwan-06", 1999, "TCU078", 6.3, Reverse, 5.72, 11.52, 443.04, 0.04, 1.4835, RSN3473_CHICHI.06_TCU078N.AT2, RSN3473_CHICHI.06_TCU078E.AT2 , RSN3473_CHICHI.06_TCU078V.AT2  
7, SRSS, 4069, 0.0009, 4.9864, -, 4.9, 11.1, 0.2, "Parkfield-02_ CA", 2004, "PARKFIELD - JACK CANYON", 6.0, strike slip, 9.12, 9.46, 576.21, 0.125, 4.9887, RSN4069_PARK2004_JACK-90.AT2, RSN4069_PARK2004_JACK360.AT2 , RSN4069_PARK2004_JACK-UP.AT2  
8, SRSS, 4127, 0.0005, 5.9081, -, 2.3, 9.1, 0.2, "Parkfield-02_ CA", 2004, "Parkfield - Stone Corral 2E", 6.0, strike slip, 5.23, 5.8, 566.33, 0.5, 5.9108, RSN4127_PARK2004_SC2090.AT2, RSN4127_PARK2004_SC2360.AT2 , RSN4127_PARK2004_SC2-UP.AT2  
9, SRSS, 4228, 0.0009, 1.1307, 1.799, 3.9, 12.2, 2.2, "Niigata_ Japan", 2004, "NIGH11", 6.63, Reverse, 6.27, 8.93, 375.0, 0.05, 1.1312, RSN4228_NIIGATA_NIGH11NS.AT2, RSN4228_NIIGATA_NIGH11EW.AT2 , RSN4228_NIIGATA_NIGH11UD.AT2  
10, SRSS, 4847, 0.0008, 0.8014, 1.4, 7.3, 20.3, 2.3, "Chuetsu-oki_ Japan", 2007, "Joetsu Kakizakiku Kakizaki", 6.8, Reverse, 9.43, 11.94, 383.43, 0.0875, 0.8018, RSN4847_CHUETSU_65010NS.AT2, RSN4847_CHUETSU_65010EW.AT2 , RSN4847_CHUETSU_65010UD.AT2  
11, SRSS, 5818, 0.0017, 0.9252, -, 6.5, 15.1, 7.3, "Iwate_ Japan", 2008, "Kurihara City", 6.9, Reverse, 12.83, 12.85, 512.26, 0.1, 0.9256, RSN5818_IWATE_48A61NS.AT2, RSN5818_IWATE_48A61EW.AT2 , RSN5818_IWATE_48A61UD.AT2  

 These records were obtained from the NGA-West2 On-Line Ground-Motion Database Tool
 These records are UNSCALED, AS RECORDED
 Filename Extension: 
   ,AT2 = Acceleration
   ,VT2 = Velocity
   ,DT2 = Displacement
 The users of the NGA-West2 databases, flatfiles, models and reports are requested to acknowledge the Pacific Earthquake Engineering Research Center (PEER) in their work and publications.

 -- Scaled Spectra used in Search & Scaling --
Period (sec),Target pSa (g),Arithmetic Mean pSa (g),Arithmetic Mean + Sigma pSa (g),Arithmetic Mean - Sigma pSa (g),RSN-313 SRSS pSa (g),RSN-1086 SRSS pSa (g),RSN-2628 SRSS pSa (g),RSN-2635 SRSS pSa (g),RSN-2734 SRSS pSa (g),RSN-3473 SRSS pSa (g),RSN-4069 SRSS pSa (g),RSN-4127 SRSS pSa (g),RSN-4228 SRSS pSa (g),RSN-4847 SRSS pSa (g),RSN-5818 SRSS pSa (g)
0.01,0.54918919,0.7573411,1.14283435,0.50187985,0.59243688,0.64282909,0.53801414,0.70678851,0.4232844,0.69744567,1.11970507,1.54469585,0.85792985,0.44030777,0.76731485
0.02,0.61837838,0.76411669,1.15689881,0.50468919,0.59211351,0.64871741,0.55792391,0.71308395,0.42603977,0.69807986,1.1294708,1.57058723,0.86409978,0.44101127,0.76415612
0.022,0.63398881,0.7693195,1.16657157,0.5073435,0.59254067,0.651498,0.57521735,0.71451127,0.42726701,0.70333613,1.13431758,1.58886441,0.86621618,0.44229834,0.7664476
0.025,0.65554656,0.78164067,1.18936783,0.51368645,0.59333762,0.66473739,0.6191329,0.7234318,0.42603714,0.7139062,1.13619393,1.6353156,0.87007086,0.44718371,0.76870026
0.029,0.68149731,0.79639965,1.23070126,0.51535854,0.59459415,0.66912988,0.65360644,0.72110154,0.42915156,0.72046827,1.14895944,1.71816223,0.86323679,0.45060975,0.79137609
0.03,0.68756757,0.79615934,1.21800666,0.52041562,0.59491837,0.66864775,0.6602874,0.72545671,0.42973736,0.72958469,1.15653795,1.68422461,0.8768325,0.4554571,0.77606828
0.032,0.70251742,0.80179206,1.22478057,0.52488627,0.59558519,0.6559112,0.66640671,0.73301326,0.43517187,0.72735228,1.15041525,1.69817515,0.89579667,0.47245447,0.78943058
0.035,0.72381592,0.85609168,1.46075733,0.50172122,0.59662812,0.65964716,0.66084951,0.74284605,0.43231851,0.73871531,1.28914334,2.12210339,0.92681521,0.46833418,0.77960765
0.036,0.73064389,0.86655317,1.52820792,0.49136926,0.59688647,0.65169564,0.65742572,0.73857009,0.43453943,0.73364118,1.31762362,2.24633569,0.91467768,0.47123037,0.76945899
0.04,0.75675676,0.86706673,1.50269231,0.50030516,0.60714388,0.66091143,0.63673396,0.72662296,0.43388778,0.72974821,1.26503411,2.19921849,0.98841314,0.46471554,0.82530453
0.042,0.77137215,0.89512473,1.58894776,0.50426345,0.61227267,0.66270571,0.60982292,0.72001088,0.42303012,0.72973904,1.36639798,2.31145472,1.05134173,0.50515046,0.8544458
0.044,0.7855703,0.93835282,1.76588244,0.49862097,0.61286713,0.65525337,0.61498678,0.73866415,0.42651549,0.72973559,1.50886076,2.58027106,1.08898965,0.50760163,0.85813543
0.045,0.79252246,0.95606541,1.83275221,0.49873685,0.61401245,0.65608577,0.62560066,0.7464808,0.4295959,0.72863064,1.59140157,2.66779822,1.09980098,0.50457611,0.85273639
0.046,0.79938131,0.97672119,1.90367499,0.50112771,0.61406241,0.66407019,0.62960569,0.74457291,0.42985235,0.74374423,1.6878866,2.74800492,1.13769674,0.49644056,0.84799651
0.048,0.81283191,1.01594961,2.04138705,0.50561388,0.60420595,0.68713659,0.62843158,0.71624336,0.42370353,0.75644447,1.95543382,2.85962282,1.18935888,0.51661989,0.83824487
0.05,0.82594595,1.04056538,2.08754993,0.51868284,0.59889611,0.69362758,0.6488037,0.73222496,0.43517437,0.76619543,2.10852719,2.85677251,1.23101224,0.54101575,0.83396937
0.055,0.86142056,1.0949983,2.18362746,0.54909608,0.6185534,0.67772507,0.69897185,0.75413832,0.48477181,0.77865056,2.07170132,3.03781807,1.45515014,0.63923134,0.82826946
0.06,0.89513514,1.08846597,1.98751503,0.59610023,0.62770524,0.76625364,0.75387776,0.75631384,0.54054241,0.8074416,2.0963758,2.60789163,1.53976279,0.60807031,0.86889068
0.065,0.93041841,1.14286219,2.08541025,0.62631993,0.62431276,0.76254071,0.76045343,0.83097328,0.53021269,0.81900818,2.00943632,2.71791388,1.90491118,0.70560139,0.9061203
0.067,0.94413722,1.159481,2.11848811,0.63460172,0.63704852,0.74147634,0.79555787,0.83630452,0.55155883,0.80486646,2.1065734,2.70514713,1.9602784,0.7136294,0.90185016
0.07,0.96432432,1.21736519,2.31861954,0.63916395,0.64459574,0.74381197,0.86377887,0.8406185,0.558422,0.78066437,2.24385548,3.01478304,2.06119715,0.74939086,0.88989916
0.075,0.99947414,1.31316805,2.77466851,0.62148337,0.63674189,0.77982896,0.88948435,0.85991107,0.59934249,0.87054017,2.24931936,3.99705759,1.83638219,0.75226881,0.97397164
0.08,1.03351351,1.41445435,3.20720826,0.62380767,0.63509227,0.89180932,0.92732426,0.94603448,0.65321745,0.93992957,2.52566466,4.65966502,1.72219192,0.65416468,1.00390421
0.085,1.06856611,1.41370657,3.09970827,0.64475947,0.64843726,0.97310437,0.9176514,0.91367024,0.65307757,1.0467974,2.71026101,4.43522323,1.59032871,0.68838811,0.97383297
0.09,1.1027027,1.44788289,2.92562693,0.71655236,0.68496594,0.99847604,1.00458208,1.06587368,0.69025293,1.15324292,2.70839378,4.115362,1.82474171,0.7026176,0.97820314
0.095,1.13768205,1.5294112,3.13231819,0.74676277,0.70807693,0.97370252,1.12617922,1.1636124,0.74493304,1.35635613,2.63939255,4.51937439,1.89755605,0.67399524,1.02034472
0.1,1.17189189,1.61789834,3.46568767,0.75528879,0.70599433,0.98926826,1.34123573,1.22721869,0.84277382,1.47515508,2.57180748,5.12866711,1.86892904,0.63620596,1.00962627
0.11,1.1904,1.73447784,3.75381498,0.80142825,0.74594056,0.98750622,1.50076225,1.31301834,0.94833543,1.59222554,2.39433882,5.67804954,1.97491828,0.73454205,1.2096192
0.12,1.1904,1.74754763,3.43790728,0.88830864,0.83368856,0.96180051,1.30977927,1.57732354,0.9912834,1.54972662,2.9165402,4.99874575,1.81558105,0.68545079,1.58310425
0.13,1.1904,1.79323185,3.42444431,0.93903716,0.88523335,0.98753522,1.48109356,1.82177165,1.01549189,1.41700245,3.27840051,4.78575405,1.89502621,0.69565067,1.46259079
0.133,1.1904,1.8239252,3.56319064,0.9336304,0.9501376,0.99571916,1.48181411,1.87700386,0.98381882,1.45215213,3.17705863,5.10176771,1.92429283,0.71049882,1.40891349
0.14,1.1904,1.80238367,3.63568325,0.89352858,0.98345299,1.00495853,1.22434714,1.88305557,0.95705571,1.50130851,2.80848703,5.3766918,1.9726333,0.72983031,1.38439945
0.15,1.1904,1.88489895,3.98446927,0.8916731,0.97171809,0.94470777,1.30774891,1.68274281,1.07777482,1.67264619,2.64323843,6.04156847,1.9032407,0.77808434,1.71041797
